Latitude,Longitude,Shop
47.52446001,-52.77012905,Tim Hortons
47.51729436,-52.75348319,Tim Hortons
47.51247614,-52.82732964,Tim Hortons
47.5202439,-52.80694485,Tim Hortons
47.4996682,-52.80851392,Tim Hortons
47.53431851,-52.84105525,Tim Hortons
47.5237,-52.748765,Tim Hortons
47.5357822,-52.86802627,Tim Hortons
47.53138227,-52.75612565,Tim Hortons
47.555587,-52.735076,Tim Hortons
47.61160765,-52.72303115,Tim Hortons
47.53517165,-52.75058802,Tim Hortons
47.54672832,-52.78882218,Tim Hortons
47.55028755,-52.71873261,Tim Hortons
47.559116,-52.713744,Tim Hortons
47.52911164,-52.88118839,Tim Hortons
47.59070973,-52.71021366,Tim Hortons
47.46461263,-52.77080728,Tim Hortons
47.566518,-52.705472,Tim Hortons
47.59464768,-52.72645279,Tim Hortons
47.56501,-52.71342,Tim Hortons
47.56473851,-52.7628404,Tim Hortons
47.595128,-52.733616,Tim Hortons
47.60326951,-52.7145052,Tim Hortons
47.56074084,-52.75597888,Tim Hortons
47.4935905,-53.0267858,Tim Hortons
47.613237,-52.743379,Tim Hortons
47.55156766,-52.77454385,Tim Hortons
47.51700112,-52.96058433,Tim Hortons
47.56295628,-52.70839583,Tim Hortons
47.56987879,-52.73591161,Tim Hortons
47.5744807,-52.7226362,Tim Hortons
47.61407445,-52.71240821,Tim Hortons
47.57762146,-53.28338242,Tim Hortons
47.578271,-53.282926,Tim Hortons
47.724895,-53.24135,Tim Hortons
46.29215498,-63.17687988,Tim Hortons
46.24810153,-63.13714027,Tim Hortons
46.26394705,-63.15864086,Tim Hortons
46.24548984,-63.11795712,Tim Hortons
46.241865,-63.11446341,Tim Hortons
46.262716,-63.146654,Tim Hortons
46.247891,-63.124528,Tim Hortons
46.22698231,-63.21926479,Tim Hortons
46.22260908,-63.0864946,Tim Hortons
46.486671,-63.39594903,Tim Hortons
46.259827,-63.11983967,Tim Hortons
46.23563223,-63.12835843,Tim Hortons
46.43710528,-63.6371815,Tim Hortons
46.254825,-63.6901,Tim Hortons
46.25504563,-63.69572639,Tim Hortons
46.401598,-63.745146,Tim Hortons
46.390646,-63.782546,Tim Hortons
45.067623,-64.565046,Tim Hortons
45.04297063,-64.73545141,Tim Hortons
45.07829905,-64.49483156,Tim Hortons
45.066534,-64.444162,Tim Hortons
45.06809886,-64.45567112,Tim Hortons
45.09180668,-64.35957062,Tim Hortons
44.96945001,-64.93734116,Tim Hortons
44.9914035,-64.93985763,Tim Hortons
45.067945,-64.18085,Tim Hortons
44.94166176,-65.07122626,Tim Hortons
44.9961709,-64.13860485,Tim Hortons
45.40579134,-64.32507104,Tim Hortons
44.657769,-63.49088046,Tim Hortons
44.697682,-63.547183,Tim Hortons
44.674561,-63.613905,Tim Hortons
44.6812,-63.542995,Tim Hortons
44.68631486,-63.55961169,Tim Hortons
44.65863737,-63.60241143,Tim Hortons
44.67383911,-63.4908083,Tim Hortons
44.64581679,-63.57521846,Tim Hortons
44.67133469,-63.5262267,Tim Hortons
44.69097437,-63.5850524,Tim Hortons
44.66071543,-63.5951799,Tim Hortons
44.69736575,-63.60461712,Tim Hortons
44.68276665,-63.53672238,Tim Hortons
44.66417346,-63.56920453,Tim Hortons
44.67178116,-63.58004808,Tim Hortons
44.70862122,-63.58642101,Tim Hortons
44.707633,-63.563593,Tim Hortons
44.64225574,-63.57361356,Tim Hortons
44.63688737,-63.56925488,Tim Hortons
44.63755494,-63.58558926,Tim Hortons
44.67112253,-63.58005082,Tim Hortons
44.62383115,-63.51024628,Tim Hortons
44.64513189,-63.58893156,Tim Hortons
44.650897,-63.623103,Tim Hortons
44.64987606,-63.54588275,Tim Hortons
44.65745069,-63.63294125,Tim Hortons
44.66819446,-63.56209521,Tim Hortons
44.63097807,-63.63165379,Tim Hortons
44.66502019,-63.61210863,Tim Hortons
44.61271041,-63.61548943,Tim Hortons
44.70724872,-63.60856533,Tim Hortons
44.63080473,-63.58063591,Tim Hortons
44.62588126,-63.61716865,Tim Hortons
44.6122999,-63.49323008,Tim Hortons
44.647664,-63.621863,Tim Hortons
44.64273,-63.578106,Tim Hortons
44.69375505,-63.50013058,Tim Hortons
44.65633646,-63.63143921,Tim Hortons
44.63610102,-63.59395266,Tim Hortons
44.731391,-63.657653,Tim Hortons
44.64601734,-63.59343767,Tim Hortons
44.670004,-63.662992,Tim Hortons
44.63921198,-63.58464539,Tim Hortons
44.73335116,-63.65472078,Tim Hortons
44.68446045,-63.6750412,Tim Hortons
44.757299,-63.659027,Tim Hortons
44.636294,-63.668842,Tim Hortons
44.66180526,-63.65565647,Tim Hortons
44.75191,-63.66908,Tim Hortons
44.70724872,-63.56414795,Tim Hortons
46.24858579,-60.08682797,Tim Hortons
46.211341,-60.01992,Tim Hortons
